7,16
7,17
7,18
7,19
6,19
5,19
4,19
3,19
2,19
3,19
4,19
5,19
6,19
7,16
8,16
9,16
10,16
11,16
11,15
11,14
12,14
12,13
13,13
13,12
14,12
14,11
15,11
15,10
15,11
14,11
14,12
13,12
13,13
13,14
12,14
12,15
12,16
12,17
12,18
13,18
14,18
15,18
16,18
17,18
17,17
17,16
17,15
17,14
17,13
17,12
18,12
18,11
18,10
18,9
17,9
17,8
18,8
18,9
18,10
18,11
18,12
18,13
18,14
18,15
18,16
18,17
17,17
16,17
15,17
14,17
13,17
12,17
11,17
10,17
9,17
8,17
7,17
6,17
5,17
5,16
5,15
5,14
4,14
3,14
2,14
2,15
1,15
1,16
1,15
1,16
0,16
0,17
0,16
0,15
1,15
1,14
2,14
3,14
4,14
5,14
6,14
6,13
6,12
7,12
8,12
9,12
9,11
9,10
9,9
8,9
7,9
6,9
5,9
4,9
3,9
4,9
5,9
6,9
7,9
8,9
9,9
10,9
11,9
12,9
12,8
12,7
12,6
12,5
12,4
12,3
12,2
12,1
11,1
10,1
9,1
8,1
7,1
6,1
5,1
4,1
3,1
2,1
1,1
0,1
0,2
