Game State:   20  |  Segway State: 1423  |  Quad State:  634
Game State:   39  |  Segway State: 1422  |  Quad State:  592
Game State:   66  |  Segway State: 1422  |  Quad State:  592
Game State:   20  |  Segway State: 1422  |  Quad State:  634
Game State:   39  |  Segway State: 1421  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1419  |  Quad State:  592
Game State:   66  |  Segway State: 1418  |  Quad State:  592
Game State:   20  |  Segway State: 1418  |  Quad State:  634
Game State:   39  |  Segway State: 1375  |  Quad State:  592
Game State:   66  |  Segway State: 1374  |  Quad State:  592
Game State:   20  |  Segway State: 1374  |  Quad State:  634
Game State:   39  |  Segway State: 1375  |  Quad State:  592
Game State:   66  |  Segway State: 1375  |  Quad State:  592
Game State:   20  |  Segway State: 1375  |  Quad State:  634
Game State:   39  |  Segway State: 1375  |  Quad State:  592
Game State:   66  |  Segway State: 1375  |  Quad State:  592
Game State:   20  |  Segway State: 1375  |  Quad State:  634
Game State:   39  |  Segway State: 1375  |  Quad State:  592
Game State:   66  |  Segway State: 1375  |  Quad State:  592
Game State:   20  |  Segway State: 1375  |  Quad State:  634
Game State:   39  |  Segway State: 1375  |  Quad State:  592
Game State:   66  |  Segway State: 1375  |  Quad State:  592
Game State:   20  |  Segway State: 1375  |  Quad State:  634
Game State:   39  |  Segway State: 1375  |  Quad State:  592
Game State:   66  |  Segway State: 1375  |  Quad State:  592
Game State:   20  |  Segway State: 1375  |  Quad State:  634
Game State:   39  |  Segway State: 1375  |  Quad State:  592
Game State:   66  |  Segway State: 1375  |  Quad State:  592
Game State:   20  |  Segway State: 1375  |  Quad State:  634
Game State:   39  |  Segway State: 1375  |  Quad State:  592
Game State:   66  |  Segway State: 1375  |  Quad State:  592
Game State:   20  |  Segway State: 1375  |  Quad State:  634
Game State:   39  |  Segway State: 1375  |  Quad State:  592
Game State:   66  |  Segway State: 1376  |  Quad State:  592
Game State:   20  |  Segway State: 1376  |  Quad State:  634
Game State:   39  |  Segway State: 1377  |  Quad State:  592
Game State:   66  |  Segway State: 1377  |  Quad State:  592
Game State:   20  |  Segway State: 1377  |  Quad State:  634
Game State:   39  |  Segway State: 1377  |  Quad State:  592
Game State:   66  |  Segway State: 1377  |  Quad State:  592
Game State:   20  |  Segway State: 1377  |  Quad State:  634
Game State:   39  |  Segway State: 1377  |  Quad State:  592
Game State:   66  |  Segway State: 1377  |  Quad State:  592
Game State:   20  |  Segway State: 1377  |  Quad State:  634
Game State:   39  |  Segway State: 1376  |  Quad State:  592
Game State:   66  |  Segway State: 1376  |  Quad State:  592
Game State:   20  |  Segway State: 1376  |  Quad State:  634
Game State:   39  |  Segway State: 1375  |  Quad State:  592
Game State:   66  |  Segway State: 1374  |  Quad State:  592
Game State:   20  |  Segway State: 1374  |  Quad State:  634
Game State:   39  |  Segway State: 1374  |  Quad State:  592
Game State:   66  |  Segway State: 1373  |  Quad State:  592
Game State:   20  |  Segway State: 1373  |  Quad State:  634
Game State:   39  |  Segway State: 1373  |  Quad State:  592
Game State:   66  |  Segway State: 1372  |  Quad State:  592
Game State:   20  |  Segway State: 1372  |  Quad State:  634
Game State:   39  |  Segway State: 1372  |  Quad State:  592
Game State:   66  |  Segway State: 1371  |  Quad State:  592
Game State:   20  |  Segway State: 1371  |  Quad State:  634
Game State:   39  |  Segway State: 1371  |  Quad State:  592
Game State:   66  |  Segway State: 1370  |  Quad State:  592
Game State:   20  |  Segway State: 1370  |  Quad State:  634
Game State:   39  |  Segway State: 1288  |  Quad State:  592
Game State:   66  |  Segway State: 1247  |  Quad State:  592
Game State:   20  |  Segway State: 1247  |  Quad State:  634
Game State:   39  |  Segway State: 1247  |  Quad State:  592
Game State:   66  |  Segway State: 1206  |  Quad State:  592
Game State:   20  |  Segway State: 1206  |  Quad State:  634
Game State:   39  |  Segway State: 1206  |  Quad State:  592
Game State:   66  |  Segway State: 1165  |  Quad State:  592
Game State:   20  |  Segway State: 1165  |  Quad State:  634
Game State:   39  |  Segway State: 1124  |  Quad State:  592
Game State:   66  |  Segway State: 1124  |  Quad State:  592
Game State:   20  |  Segway State: 1124  |  Quad State:  634
Game State:   39  |  Segway State: 1083  |  Quad State:  592
Game State:   66  |  Segway State: 1042  |  Quad State:  592
Game State:   20  |  Segway State: 1042  |  Quad State:  634
Game State:   39  |  Segway State: 1001  |  Quad State:  592
Game State:   66  |  Segway State: 1001  |  Quad State:  592
Game State:   20  |  Segway State: 1001  |  Quad State:  634
Game State:   38  |  Segway State:  960  |  Quad State:  592
Game State:   68  |  Segway State:  919  |  Quad State:  592
Game State:   22  |  Segway State:  919  |  Quad State:  634
Game State:   47  |  Segway State:  878  |  Quad State:  592
Game State:   74  |  Segway State:  878  |  Quad State:  592
Game State:   28  |  Segway State:  878  |  Quad State:  634
Game State:   53  |  Segway State:  837  |  Quad State:  592
Game State:   87  |  Segway State:  796  |  Quad State:  592
Game State:  104  |  Segway State:  796  |  Quad State:  634
Game State:  132  |  Segway State:  755  |  Quad State:  592
Game State:  162  |  Segway State:  755  |  Quad State:  592
Game State:  112  |  Segway State:  755  |  Quad State:  634
Game State:  141  |  Segway State:  714  |  Quad State:  592
Game State:  165  |  Segway State:  714  |  Quad State:  592
Game State:  201  |  Segway State:  714  |  Quad State:  634
Game State:  245  |  Segway State:  673  |  Quad State:  592
Game State:  176  |  Segway State:  673  |  Quad State:  592
Game State:  204  |  Segway State:  673  |  Quad State:  634
Game State:  248  |  Segway State:  632  |  Quad State:  592
Game State:  339  |  Segway State:  632  |  Quad State:  592
Game State:  217  |  Segway State:  632  |  Quad State:  634
Game State:  263  |  Segway State:  591  |  Quad State:  592
Game State:  358  |  Segway State:  550  |  Quad State:  592
Game State:  453  |  Segway State:  550  |  Quad State:  634
Game State:  513  |  Segway State:  550  |  Quad State:  592
Game State:  601  |  Segway State:  509  |  Quad State:  592
Game State:  493  |  Segway State:  509  |  Quad State:  634
Game State:  516  |  Segway State:  509  |  Quad State:  592
Game State:  604  |  Segway State:  468  |  Quad State:  592
Game State:  722  |  Segway State:  468  |  Quad State:  634
Game State:  527  |  Segway State:  468  |  Quad State:  592
Game State:  615  |  Segway State:  427  |  Quad State:  592
Game State:  725  |  Segway State:  427  |  Quad State:  634
Game State:  898  |  Segway State:  427  |  Quad State:  592
Game State: 1127  |  Segway State:  386  |  Quad State:  592
Game State:  736  |  Segway State:  386  |  Quad State:  634
Game State:  912  |  Segway State:  345  |  Quad State:  592
Game State: 1130  |  Segway State:  345  |  Quad State:  592
Game State: 1350  |  Segway State:  345  |  Quad State:  634
Game State: 1445  |  Segway State:  304  |  Quad State:  592
Game State: 1489  |  Segway State:  263  |  Quad State:  592
Game State: 1364  |  Segway State:  263  |  Quad State:  634
Game State: 1448  |  Segway State:  263  |  Quad State:  592
Game State: 1492  |  Segway State:  222  |  Quad State:  592
Game State: 1622  |  Segway State:  222  |  Quad State:  634
Game State: 1770  |  Segway State:  181  |  Quad State:  592
Game State: 1504  |  Segway State:  181  |  Quad State:  592
Game State: 1625  |  Segway State:  181  |  Quad State:  634
Game State: 1773  |  Segway State:  140  |  Quad State:  592
Game State: 1747  |  Segway State:  140  |  Quad State:  592
Game State: 1637  |  Segway State:  140  |  Quad State:  634
Game State: 1819  |  Segway State:  141  |  Quad State:  592
Game State: 1767  |  Segway State:  142  |  Quad State:  592
Game State: 1676  |  Segway State:  142  |  Quad State:  634
Game State: 1829  |  Segway State:  143  |  Quad State:  592
Game State: 1716  |  Segway State:  144  |  Quad State:  592
Game State: 1649  |  Segway State:  144  |  Quad State:  634
Game State: 1810  |  Segway State:  145  |  Quad State:  592
Game State: 1757  |  Segway State:  146  |  Quad State:  592
Game State: 1667  |  Segway State:  146  |  Quad State:  634
Game State: 1486  |  Segway State:  147  |  Quad State:  592
Game State: 1544  |  Segway State:  149  |  Quad State:  592
Game State: 1748  |  Segway State:  149  |  Quad State:  552
Game State: 1858  |  Segway State:  150  |  Quad State:  512
Game State: 2005  |  Segway State:  151  |  Quad State:  472
Game State: 2159  |  Segway State:  152  |  Quad State:  390
Game State: 2226  |  Segway State:  153  |  Quad State:  308
Game State: 2511  |  Segway State:  113  |  Quad State:  308
Game State: 2796  |  Segway State:  113  |  Quad State:  308
Game State: 3183  |  Segway State:  113  |  Quad State:  348
Game State: 3541  |  Segway State:  155  |  Quad State:  388
Game State: 4067  |  Segway State:  197  |  Quad State:  470
Game State: 4452  |  Segway State:  238  |  Quad State:  552
Game State: 1660  |  Segway State:  238  |  Quad State:  634
Game State: 1792  |  Segway State:  238  |  Quad State:  592
Game State: 1544  |  Segway State:  238  |  Quad State:  592
Game State: 1748  |  Segway State:  238  |  Quad State:  552
Game State: 1858  |  Segway State:  279  |  Quad State:  512
Game State: 2005  |  Segway State:  320  |  Quad State:  472
Game State: 2159  |  Segway State:  320  |  Quad State:  390
Game State: 2226  |  Segway State:  361  |  Quad State:  308
Game State: 2438  |  Segway State:  401  |  Quad State:  268
Game State: 2854  |  Segway State:  441  |  Quad State:  228
Game State: 3270  |  Segway State:  481  |  Quad State:  188
Game State: 3683  |  Segway State:  481  |  Quad State:  190
Game State: 4135  |  Segway State:  481  |  Quad State:  191
Game State: 4548  |  Segway State:  481  |  Quad State:  192
Game State: 4964  |  Segway State:  481  |  Quad State:  192
Game State: 5029  |  Segway State:  481  |  Quad State:  190
Game State: 5101  |  Segway State:  481  |  Quad State:  188
Game State: 3233  |  Segway State:  481  |  Quad State:  228
Game State: 3621  |  Segway State:  481  |  Quad State:  268
Game State: 2795  |  Segway State:  481  |  Quad State:  308
Game State: 3182  |  Segway State:  399  |  Quad State:  348
Game State: 3541  |  Segway State:  357  |  Quad State:  388
Game State: 4067  |  Segway State:  275  |  Quad State:  470
Game State: 4452  |  Segway State:  233  |  Quad State:  552
Game State: 1660  |  Segway State:  192  |  Quad State:  634
Game State: 1792  |  Segway State:  150  |  Quad State:  592
Game State: 1544  |  Segway State:  192  |  Quad State:  592
Game State: 1748  |  Segway State:  192  |  Quad State:  552
Game State: 1858  |  Segway State:  233  |  Quad State:  512
Game State: 2005  |  Segway State:  276  |  Quad State:  472
Game State: 2159  |  Segway State:  276  |  Quad State:  390
Game State: 2226  |  Segway State:  235  |  Quad State:  308
Game State: 2438  |  Segway State:  235  |  Quad State:  268
Game State: 2854  |  Segway State:  235  |  Quad State:  228
Game State: 3272  |  Segway State:  194  |  Quad State:  228
Game State: 3325  |  Segway State:  194  |  Quad State:  228
Game State: 3636  |  Segway State:  194  |  Quad State:  268
Game State: 4104  |  Segway State:  153  |  Quad State:  308
Game State: 3187  |  Segway State:  152  |  Quad State:  348
Game State: 3557  |  Segway State:  151  |  Quad State:  388
Game State: 4073  |  Segway State:  150  |  Quad State:  470
Game State: 4446  |  Segway State:  149  |  Quad State:  552
Game State: 1837  |  Segway State:  148  |  Quad State:  634
Game State: 1792  |  Segway State:  147  |  Quad State:  592
Game State: 1599  |  Segway State:  147  |  Quad State:  592
Game State: 1743  |  Segway State:  147  |  Quad State:  592
Game State: 1695  |  Segway State:  147  |  Quad State:  634
Game State: 1796  |  Segway State:  146  |  Quad State:  592
Game State: 1717  |  Segway State:  145  |  Quad State:  592
Game State: 1681  |  Segway State:  145  |  Quad State:  634
Game State: 1784  |  Segway State:  144  |  Quad State:  592
Game State: 1720  |  Segway State:  143  |  Quad State:  592
Game State: 1703  |  Segway State:  143  |  Quad State:  634
Game State: 1805  |  Segway State:  142  |  Quad State:  592
Game State: 1735  |  Segway State:  141  |  Quad State:  592
Game State: 1690  |  Segway State:  141  |  Quad State:  634
Game State: 1773  |  Segway State:  140  |  Quad State:  592
Game State: 1773  |  Segway State:  180  |  Quad State:  592
