Game State: 1210  |  Segway State: 1422  |  Quad State:  980
Game State: 1851  |  Segway State: 1421  |  Quad State:  898
Game State:  248  |  Segway State: 1420  |  Quad State:  857
Game State:  196  |  Segway State: 1420  |  Quad State:  816
Game State:  149  |  Segway State: 1420  |  Quad State:  816
Game State:  180  |  Segway State: 1420  |  Quad State:  856
Game State:  220  |  Segway State: 1420  |  Quad State:  896
Game State:  305  |  Segway State: 1420  |  Quad State:  978
Game State:  399  |  Segway State: 1420  |  Quad State: 1060
Game State:  509  |  Segway State: 1420  |  Quad State: 1100
Game State:  744  |  Segway State: 1420  |  Quad State: 1140
Game State:  962  |  Segway State: 1420  |  Quad State: 1140
Game State: 1374  |  Segway State: 1420  |  Quad State: 1140
Game State: 1931  |  Segway State: 1420  |  Quad State: 1100
Game State:  710  |  Segway State: 1420  |  Quad State: 1060
Game State:  838  |  Segway State: 1420  |  Quad State: 1020
Game State: 1210  |  Segway State: 1420  |  Quad State:  980
Game State: 1851  |  Segway State: 1420  |  Quad State:  898
Game State:  248  |  Segway State: 1420  |  Quad State:  857
Game State:  196  |  Segway State: 1420  |  Quad State:  816
Game State:  149  |  Segway State: 1420  |  Quad State:  816
Game State:  180  |  Segway State: 1420  |  Quad State:  856
Game State:  220  |  Segway State: 1420  |  Quad State:  896
Game State:  305  |  Segway State: 1420  |  Quad State:  978
Game State:  399  |  Segway State: 1420  |  Quad State: 1060
Game State:  509  |  Segway State: 1420  |  Quad State: 1100
Game State:  744  |  Segway State: 1420  |  Quad State: 1140
Game State:  962  |  Segway State: 1420  |  Quad State: 1140
Game State: 1374  |  Segway State: 1420  |  Quad State: 1140
Game State: 1931  |  Segway State: 1420  |  Quad State: 1100
Game State:  710  |  Segway State: 1420  |  Quad State: 1060
Game State:  838  |  Segway State: 1420  |  Quad State: 1020
Game State: 1210  |  Segway State: 1420  |  Quad State:  980
Game State: 1851  |  Segway State: 1419  |  Quad State:  898
Game State:  248  |  Segway State: 1417  |  Quad State:  857
Game State:  196  |  Segway State: 1375  |  Quad State:  816
Game State:  149  |  Segway State: 1374  |  Quad State:  816
Game State:  180  |  Segway State: 1374  |  Quad State:  856
Game State:  220  |  Segway State: 1375  |  Quad State:  896
Game State:  305  |  Segway State: 1375  |  Quad State:  978
Game State:  399  |  Segway State: 1375  |  Quad State: 1060
Game State:  509  |  Segway State: 1375  |  Quad State: 1100
Game State:  744  |  Segway State: 1375  |  Quad State: 1140
Game State: 1012  |  Segway State: 1375  |  Quad State: 1222
Game State: 1526  |  Segway State: 1375  |  Quad State: 1304
Game State: 2297  |  Segway State: 1375  |  Quad State: 1302
Game State: 3059  |  Segway State: 1375  |  Quad State: 1344
Game State: 2910  |  Segway State: 1375  |  Quad State: 1344
Game State: 3548  |  Segway State: 1375  |  Quad State: 1304
Game State: 3994  |  Segway State: 1375  |  Quad State: 1264
Game State: 2735  |  Segway State: 1375  |  Quad State: 1224
Game State: 3393  |  Segway State: 1375  |  Quad State: 1184
Game State: 3936  |  Segway State: 1375  |  Quad State: 1144
Game State: 4239  |  Segway State: 1375  |  Quad State: 1062
Game State: 1210  |  Segway State: 1376  |  Quad State:  980
Game State: 1851  |  Segway State: 1377  |  Quad State:  898
Game State:  248  |  Segway State: 1377  |  Quad State:  857
Game State:  196  |  Segway State: 1377  |  Quad State:  816
Game State:  149  |  Segway State: 1377  |  Quad State:  816
Game State:  180  |  Segway State: 1377  |  Quad State:  856
Game State:  220  |  Segway State: 1377  |  Quad State:  896
Game State:  305  |  Segway State: 1377  |  Quad State:  978
Game State:  399  |  Segway State: 1376  |  Quad State: 1060
Game State:  509  |  Segway State: 1376  |  Quad State: 1100
Game State:  744  |  Segway State: 1375  |  Quad State: 1140
Game State: 1012  |  Segway State: 1374  |  Quad State: 1222
Game State: 1526  |  Segway State: 1374  |  Quad State: 1304
Game State: 2297  |  Segway State: 1373  |  Quad State: 1302
Game State: 3049  |  Segway State: 1373  |  Quad State: 1300
Game State: 3730  |  Segway State: 1372  |  Quad State: 1298
Game State: 4134  |  Segway State: 1371  |  Quad State: 1216
Game State: 4436  |  Segway State: 1371  |  Quad State: 1216
Game State: 4696  |  Segway State: 1371  |  Quad State: 1176
Game State: 5154  |  Segway State: 1371  |  Quad State: 1136
Game State: 5872  |  Segway State: 1329  |  Quad State: 1096
Game State: 6885  |  Segway State: 1288  |  Quad State: 1056
Game State: 7705  |  Segway State: 1247  |  Quad State: 1058
Game State: 8191  |  Segway State: 1247  |  Quad State: 1060
Game State: 8261  |  Segway State: 1206  |  Quad State: 1020
Game State: 8334  |  Segway State: 1206  |  Quad State:  980
Game State: 8498  |  Segway State: 1165  |  Quad State:  898
Game State: 8810  |  Segway State: 1124  |  Quad State:  857
Game State: 9295  |  Segway State: 1124  |  Quad State:  816
Game State: 10068  |  Segway State: 1083  |  Quad State:  816
Game State: 10754  |  Segway State: 1083  |  Quad State:  814
Game State:  220  |  Segway State: 1042  |  Quad State:  896
Game State:  305  |  Segway State: 1001  |  Quad State:  978
Game State:  399  |  Segway State: 1001  |  Quad State: 1060
Game State:  509  |  Segway State:  960  |  Quad State: 1100
Game State:  744  |  Segway State:  919  |  Quad State: 1140
Game State: 1012  |  Segway State:  878  |  Quad State: 1222
Game State: 1526  |  Segway State:  878  |  Quad State: 1304
Game State: 2297  |  Segway State:  837  |  Quad State: 1302
Game State: 3049  |  Segway State:  796  |  Quad State: 1300
Game State: 3730  |  Segway State:  755  |  Quad State: 1298
Game State: 4077  |  Segway State:  755  |  Quad State: 1296
Game State: 4481  |  Segway State:  714  |  Quad State: 1294
Game State: 4865  |  Segway State:  714  |  Quad State: 1292
Game State: 5519  |  Segway State:  673  |  Quad State: 1290
Game State: 6368  |  Segway State:  673  |  Quad State: 1248
Game State: 7391  |  Segway State:  632  |  Quad State: 1206
Game State: 8072  |  Segway State:  632  |  Quad State: 1204
Game State: 8225  |  Segway State:  591  |  Quad State: 1202
Game State: 8292  |  Segway State:  550  |  Quad State: 1160
Game State: 8411  |  Segway State:  550  |  Quad State: 1158
Game State: 8629  |  Segway State:  509  |  Quad State: 1156
Game State: 9058  |  Segway State:  509  |  Quad State: 1238
